Iteration, Values, Type
0,22,0.47333333333333333
1,77,0.6133333333333333
2,39,0.5266666666666666
3,68,0.6066666666666667
4,45,0.5733333333333334
5,54,0.54
6,37,0.5266666666666666
7,96,0.68
8,93,0.6333333333333333
9,54,0.54
10,33,0.5266666666666666
11,96,0.68
12,93,0.6333333333333333
13,35,0.5266666666666666
14,18,0.4066666666666667
15,54,0.54
16,56,0.54
17,35,0.5266666666666666
18,95,0.6466666666666666
19,25,0.5066666666666667
20,32,0.5133333333333333
21,95,0.6466666666666666
22,10,0.28
23,89,0.62
24,40,0.5666666666666667
25,95,0.6466666666666666
26,18,0.4066666666666667
27,79,0.62
28,49,0.5666666666666667
29,54,0.54
30,24,0.5066666666666667
31,18,0.4066666666666667
32,90,0.6266666666666667
33,15,0.37333333333333335
34,60,0.52
35,68,0.6066666666666667
36,44,0.5666666666666667
37,76,0.6133333333333333
38,40,0.5666666666666667
39,92,0.6266666666666667
40,27,0.48
41,18,0.4066666666666667
42,90,0.6266666666666667
43,92,0.6266666666666667
44,25,0.5066666666666667
45,25,0.5066666666666667
46,63,0.6133333333333333
47,79,0.62
48,89,0.62
49,54,0.54
50,84,0.6266666666666667
51,88,0.6266666666666667
52,93,0.6333333333333333
53,28,0.47333333333333333
54,96,0.68
55,21,0.47333333333333333
56,64,0.6133333333333333
57,15,0.37333333333333335
58,56,0.54
59,53,0.5333333333333333
60,71,0.6133333333333333
61,80,0.6133333333333333
62,61,0.5733333333333334
63,43,0.5666666666666667
64,56,0.54
65,42,0.5733333333333334
66,64,0.6133333333333333
67,37,0.5266666666666666
68,41,0.5666666666666667
69,73,0.6066666666666667
70,82,0.6133333333333333
71,53,0.5333333333333333
72,83,0.6266666666666667
73,28,0.47333333333333333
74,82,0.6133333333333333
75,59,0.5266666666666666
76,32,0.5133333333333333
77,39,0.5266666666666666
78,16,0.42
79,23,0.48
80,15,0.37333333333333335
81,82,0.6133333333333333
82,31,0.5133333333333333
83,17,0.42
84,56,0.54
85,36,0.5266666666666666
86,89,0.62
87,77,0.6133333333333333
88,75,0.5933333333333334
89,48,0.5733333333333334
90,87,0.6266666666666667
91,15,0.37333333333333335
92,46,0.5733333333333334
93,29,0.54
94,17,0.42
95,67,0.5933333333333334
96,42,0.5733333333333334
97,46,0.5733333333333334
98,78,0.62
99,86,0.6266666666666667
100,82,0.6133333333333333
101,51,0.5533333333333333
102,64,0.6133333333333333
103,78,0.62
104,10,0.28
105,92,0.6266666666666667
106,92,0.6266666666666667
107,66,0.6133333333333333
108,30,0.54
109,95,0.6466666666666666
110,22,0.47333333333333333
111,95,0.6466666666666666
112,10,0.28
113,37,0.5266666666666666
114,27,0.48
115,69,0.6066666666666667
116,57,0.5266666666666666
117,43,0.5666666666666667
118,80,0.6133333333333333
119,11,0.29333333333333333
120,47,0.5733333333333334
121,38,0.5133333333333333
122,57,0.5266666666666666
123,94,0.6333333333333333
124,28,0.47333333333333333
